Manufacturing mainly, but in many cases with investments in real estate, banking, and other non-protected business|619
Saw mills and lumber, sometimes with other investments|138
Brewing and real estate, mainly|79
Distilling, mainly|32
Malting|2
Coal, iron, zinc, lead, copper, or quicksilver mines|113
Sugar refining, mainly|29
Shipbuilding and repairing|3
Tanning and leather business|49
Coasting and lake shipping, mainly|31
Flour milling|16
Marble quarries, but with other investments|2
Seeds and nursery business, mainly|4
Sugar plantations in the South|3
Lithographing, but with insurance business in addition|1
Tobacco growing in the South, and lands|3
Wool growing in Ohio, and lands|1
Making special patented and proprietary articles|93
Cattle raising in the West, and lands, mainly|47
Merchandising mainly, with, in the great majority of cases, the investment of profits in real estate, banks and securities generally|986
Real estate, advance in value with the growth of population and improvement of|468
Loaning money and real estate|9
Railroads, development, consolidation and management of|186
Contracting and building, railroads, streets, and public and private works generally|77
Banking and the investment of profits in real estate and securities, mainly|294
Brokerage business and stocks|56
Express business|18
Mercantile agency business and investments|2
Telegraph and telephone development|12
Silver and gold mines|73
Local enterprises, gas works, water works, street railroads, ferries, etc.|70
Law practice and investment of profits in real estate and securities|65
Deep sea shipping, ocean freighting, in some cases combined with foreign trade on the owner’s account|75
Whaling, deep sea ships, and ocean trade|4
Packing and provisions|34
Ice business, mainly|1
Oil producing, refining and transportation|72
Hotel and restaurant business, with real estate investments|24
Pine lands and the sale of logs and timber therefrom|19
Dealing in timber and mineral lands|11
Publishing news and story papers|30
Publishing copyright books, with general printing added in some cases|25
Publishing copyrighted music|2
Steamboating on the rivers and in the harbors|20
Plantations, farming and land|15
Cracker baking|4
Nitrate beds in Chili|1
Louisiana lottery business|2
Mail contracts in the West, with other business, ranches, mines, etc.|1
Smelting and refining metals|6
Insurance business, mainly|6
Royalties on patents|3
Miscellaneous investments, mostly in non-protected lines of business|6
Show and circus business, with investment of profits in real estate, securities, etc.|3
Asphalt street pavements|1
Pension agency business, with a weekly newspaper in connection therewith|1
Contracts for railroad building and equipment, etc., in foreign lands|6
Plantations in the West Indies and South America, mainly|6
Phosphate land in Florida, banking, and real estate|1
Fine stock raising and fortunate investments in lands and securities|3
Grain elevators, storage warehouses and wharf business|17
Medical practice and investments in real estate|1
Unprotected manufacturing|2
Pawnbroking and real estate|2
Refining lard, cotton oil, etc.|2
Cotton raising in the South|4
Made in the Tweed ring, New-York City|1
Pony express over the plains, and lands|1
By inheritance and gift, original sources of the fortune unknown|34
Origin of the fortune entirely unknown|21
Grand total|4,047
