State | City | Name | Description
ALABAMA | ANNISTON | A. L. TYLER | Mining and rise in real estate.
ALABAMA | BIRMINGHAM | HENRY F. DE BARDELEBEN | Chiefly in coal and iron properties. He has a large amount of property and is engaged in several large industrial enterprises in coal, iron and land. He is the controlling owner in the De Bardeleben Coal and Iron Company.
ALABAMA | BIRMINGHAM | DR. HENRY M. CALDWELL | Chiefly real estate and lumber. He is president of Elyton Land Company, and Birmingham Trust and Savings Company.
ALABAMA | BIRMINGHAM | W. A. WALKER | Rise in real estate.
ALABAMA | BIRMINGHAM | T. T. HILLMAN | Iron manufacturing.
ALABAMA | BIRMINGHAM | JOHN T. MILNER | Pine and coal lands.
ALABAMA | GADSDEN | ROBERT B. KYLE | Sawmills and real estate.
ALABAMA | MONTGOMERY | JOSIAH MORRIS | Private banking and real-estate speculation in Birmingham. He organized the Elyton Land Company and is its largest stockholder. The company has been a great success on account of the founding of the city and its subsequent growth.
CALIFORNIA | BAKERSFIELD | J. B. HAGGIN | Stock farm; Anaconda copper mine, and real estate.
CALIFORNIA | CHICO | JOHN BIDWELL | Surveying, ranches, and fruit growing.
CALIFORNIA | CHICO | DR. HUGH GLENN | Wheat-farming on a large scale, and lands.
CALIFORNIA | CHINO RANCH | RICHARD GIRD | Ranches and farming.
CALIFORNIA | RIVERSIDE | Dr. JAMES P. GREVES | Iron and copper mining in Lake Superior region; silver mines in Nevada, and lands in California.
CALIFORNIA | LOS ANGELES | HARRIS NEWMARK | Dealing in wool and hides.
CALIFORNIA | LOS ANGELES | H. W. HELLMAN | Wholesale groceries and liquors.
CALIFORNIA | LOS ANGELES | KASPAR KOHN | Dealing in wool and hides.
CALIFORNIA | LOS ANGELES | MRS. R. S. BAKER | From her first husband, Don Abel Stearns. Made in city real estate and stock-raising. Owner in vast cattle and grain ranches.
CALIFORNIA | LOS ANGELES | COLONEL R. S. BAKER | Cattle raising and real estate. He has great cattle and grain ranches and valuable city real estate.
CALIFORNIA | LOS ANGELES | MAJOR GEORGE H. BONEBRAKE | Real estate and banking. President of the Los Angeles National Bank and of the State Loan and Trust Company.
CALIFORNIA | LOS ANGELES | D. FREEMAN | Farming on a large scale and real estate.
CALIFORNIA | LOS ANGELES | L. PHILLIPS | Farming on a large scale and real estate.
CALIFORNIA | LOS ANGELES | E. F. SPENCE | Banking and real estate. President of the First National Bank and of the Savings Bank of Southern California.
CALIFORNIA | LOS ANGELES | J. B. LANKERSHIM | Real estate and banking. President of the Main Street Savings Bank and Trust Company.
CALIFORNIA | LOS ANGELES | ISAIAS W. HELLMAN | Banking and real estate. President of the Farmers' and Merchants' Bank.
CALIFORNIA | LOS ANGELES | L. L. BRADBURY | Reputed to be the richest man in Southern California. California mines; stocks and real estate in Oakland and Southern California.
CALIFORNIA | LOS ANGELES | JOHN S. VOSBURG | Arizona mines and Southern California real estate.
CALIFORNIA | LOS ANGELES | L. J. ROSE | Fruit raising, wine-making and lands. He sold his famous “Sunny Slope” fruit ranch in San Gabriel Valley during the boom of 1887 to an English syndicate for over a million dollars.
CALIFORNIA | OAKLAND | Mrs. CATHERINE GARCELO | She was a sister of Dr. Samuel Merritt, a Forty-Niner, who left her $3,000,000. Made in hotel business, real estate, and loans.
CALIFORNIA | OAKLAND | GEORGE W. GRAYSON (of Grayson, Owens & Co.) | Silver mines, wine dealing; but chiefly lands and cattle; and sale of meat.
CALIFORNIA | OAKLAND | HORACE H. SEATON | Merchandising and trade.
CALIFORNIA | OAKLAND | J. C. AINSWORTH | Steamboating on the Columbia and Willamette rivers in partnership with R. R. Thompson and S. G. Reed; real estate in Portland, Ore., and in the State of Washington, and banking.
CALIFORNIA | SACRAMENTO | EDGAR MILLS | President of D. O. Mills & Co.'s bank; banking and real estate.
CALIFORNIA | SACRAMENTO | MRS. MARGARET B. CROCKER (widow of Judge E. B. Crocker) | Made in Central Pacific Railroad.
CALIFORNIA | SACRAMENTO | NEWTON BOOTH | Wholesale importation of groceries and dealing in the same. He is still a member of the old firm of Booth & Co., wholesale grocers.
CALIFORNIA | SACRAMENTO | A. COOLUT | Importing tobacco, cigars, ammunition and notions, in part. His wealth came largely, however, from the Central Pacific Railroad, of which he was an original stockholder.
CALIFORNIA | SACRAMENTO | WILLIAM LAND | Hotel business and loans.
CALIFORNIA | SACRAMENTO | FREDERICK COX (of Cox & Clark) | Cattle-raising and land.
CALIFORNIA | SACRAMENTO | C. W. CLARK (of Cox & Clark) | Cattle-raising and land.
CALIFORNIA | SACRAMENTO | JEFFERSON WILCOXSON | Dealing in cattle and sheep; real estate, loans and warehouse at Williams.
ARKANSAS | CITY OF LITTLE ROCK | LOGAN H. ROOTS | Banking; mail carrying; railroads; real estate; and introducing telephone service in Texas and Arkansas. His first efforts were in cotton-raising after the war. He is a director in the Arkansas and Gulf Railroad, St. Louis, Iron Mountain and Southern Railroad; Consolidated Refrigerating Company, etc.
ARKANSAS | CITY OF LITTLE ROCK | P. K. ROOTS | Banking, cotton raising, real estate, etc.
ARKANSAS | CITY OF LITTLE ROCK | COLONEL ZEBULON WARD | Cotton plantations and leasing penitentiaries.
ARKANSAS | CITY OF LITTLE ROCK | R. W. MARTIN | Trading and loaning money on plantations and real estate.
ARKANSAS | CITY OF LITTLE ROCK | W. J. THOMPSON | Trading and loaning money on plantations and investments in real estate.
ARKANSAS | CITY OF LITTLE ROCK | STEPHEN W. DORSEY | Railroads in Arkansas; stage mail contracts; mining speculations; and ranch and cattle in New-Mexico.
CALIFORNIA | SACRAMENTO | ALLEN TOWLE | Timber land and lumber manufacturing in Placer County.
CALIFORNIA | SACRAMENTO | AUGUST HEILBRON | Raising and slaughtering cattle, and hardware business.
CALIFORNIA | SACRAMENTO | E. HEILBRON | Raising and slaughtering cattle and hardware merchandising in partnership with August Heilbron.
CALIFORNIA | SAN FRANCISCO | JOHN W. ALLYNE | Oils and real estate.
CALIFORNIA | SAN FRANCISCO | O. D. BALDWIN | Mines and real estate.
CALIFORNIA | SAN FRANCISCO | L. L. BAKER | Manufacturing agricultural machinery and wholesale hardware.
CALIFORNIA | SAN FRANCISCO | J. BRANDENSTEIN | Merchandising and lands.
CALIFORNIA | SAN FRANCISCO | ARCH. BORLAND (of Grayson & Co.) | Land, cattle-raising and mines.
CALIFORNIA | SAN FRANCISCO | ALPHEUS BULL | Insurance; silver and other mines; speculation and banking. He was interested in the Big Bonanza mines and left an estate of several millions.
CALIFORNIA | SAN FRANCISCO | E. J. BALDWIN | Hotels, mining and real estate.
CALIFORNIA | SAN FRANCISCO | THOMAS BELL | Quicksilver mines and commission merchandising.
CALIFORNIA | SAN FRANCISCO | W. B. BOURNE | Real estate and investments.
CALIFORNIA | SAN FRANCISCO | HENRY BABCOCK | Merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | T. H. BLYTHE | City real estate. He made a fortune of several millions.
CALIFORNIA | SAN FRANCISCO | J. T. BOYD | Real estate and street railroads.
CALIFORNIA | SAN FRANCISCO | ALFRED BOREL (of Alfred Borel & Co.) | Private banking, and lands.
CALIFORNIA | SAN FRANCISCO | DAVID BIXLER | Silver and gold mines, and real-estate investments.
CALIFORNIA | SAN FRANCISCO | EDWARD BARRON | Quicksilver mines.
CALIFORNIA | SAN FRANCISCO | PRINCESS GALATIO COLONNA (Paris) | From her father, John W. Mackay, made in the Bonanza silver mines.
CALIFORNIA | SAN FRANCISCO | ALFRED A. COHEN | Attorney for Central Pacific and other roads. In Oakland Ferry, real estate, etc.
CALIFORNIA | SAN FRANCISCO | JULES CERF | Real estate.
CALIFORNIA | SAN FRANCISCO | GEORGE W. CROCKER | Railroads and lands.
CALIFORNIA | SAN FRANCISCO | MRS. CLARK W. CROCKER | Railroads and lands.
CALIFORNIA | SAN FRANCISCO | R. D. CHANDLER | Dealing in coal and pig iron.
CALIFORNIA | SAN FRANCISCO | W. H. COWELL | Manufacturing lime and investments in timber lands.
CALIFORNIA | SAN FRANCISCO | JOHN CARROLL | Merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | CHARLES F. CROCKER | Inherited from Charles Crocker, who made a great fortune in the Central Pacific Railroad and lands. Charles F. Crocker is vice-president of that road and a director in Wells, Fargo & Co.’s Express Company.
CALIFORNIA | SAN FRANCISCO | WILLIAM H. CROCKER | Inherited from Charles Crocker and made in the Central Pacific Railroad, and lands.
CALIFORNIA | SAN FRANCISCO | FREDERICK CROCKER | Railroads and lands. Inherited from Charles Crocker.
CALIFORNIA | SAN FRANCISCO | MARIA COLEMAN (Sister of W. S. O’Brien) | Mines, etc.
CALIFORNIA | SAN FRANCISCO | JAMES V. COLEMAN | Rise in real estate.
CALIFORNIA | SAN FRANCISCO | MRS. ARCHIBALD C. D. DICK (London) | From her father, Parrott, the banker. Made in mines, banking and real estate.
CALIFORNIA | SAN FRANCISCO | J. S. DOE | Real estate and manufacturing doors, sashes, blinds and building.
CALIFORNIA | SAN FRANCISCO | COLL. DEANE | Banking, brokerage and speculation.
CALIFORNIA | SAN FRANCISCO | WILLIAM DUNPHY | Wholesale cattle and lands.
CALIFORNIA | SAN FRANCISCO | S. P. DEWEY | Speculation in mining shares.
CALIFORNIA | SAN FRANCISCO | MRS. PETER DONAHUE | Iron manufacturing, gas and investments.
CALIFORNIA | SAN FRANCISCO | MRS. J. MERVYN DONAHUE | Inherited from her husband. Made in gas stock, iron manufacturing, etc.
CALIFORNIA | SAN FRANCISCO | C. J. DEMPSTER | Merchandising and real estate.
CALIFORNIA | SAN FRANCISCO | J. A. DONOHUE | Private banking, real estate, gas and mines.
CALIFORNIA | SAN FRANCISCO | BARTLETT DOE | Manufacturing doors, sashes and blinds, building and real estate.
CALIFORNIA | SAN FRANCISCO | WALTER E. DEANE | Made in mines.
CALIFORNIA | SAN FRANCISCO | A. E. DAVIS | Railroads and mines.
CALIFORNIA | SAN FRANCISCO | HORACE DAVIS | Flour-milling chiefly.
CALIFORNIA | SAN FRANCISCO | M. H. DE YOUNG | Publishing “The Daily Chronicle,” and investments in real estate.
CALIFORNIA | SAN FRANCISCO | J. ENRIGHT | Real estate and lands.
CALIFORNIA | SAN FRANCISCO | E. E. EYER | Mines and speculation.
CALIFORNIA | SAN FRANCISCO | J. O. EARLE | Speculation in mining shares.
CALIFORNIA | SAN FRANCISCO | JAMES G. FAIR, Jr. | Silver mines and speculation. Inherited from his father, James G. Fair, who was interested in the Big Bonanza mines.
CALIFORNIA | SAN FRANCISCO | CHARLES FAIR | Silver mines and speculation. Inherited from James G. Fair.
CALIFORNIA | SAN FRANCISCO | MISS VIRGINIA FAIR | Silver mines and speculation. Inherited.
CALIFORNIA | SAN FRANCISCO | MRS. JAMES C. FLOOD | Silver and gold mines; banking and real estate. Inherits from her husband.
CALIFORNIA | SAN FRANCISCO | MISS CORA JANE FLOOD | Inherited from her father, James C. Flood. Made in mines, banking and real estate.
CALIFORNIA | SAN FRANCISCO | JAMES L. FLOOD | Inherited from James C. Flood. mines, banking and real estate.
CALIFORNIA | SAN FRANCISCO | C. N. FELTON | Mines and real estate.
CALIFORNIA | SAN FRANCISCO | LADY FLORENCE EMILY FENNER-HESKETH (wife of Sir Thomas G. F. Fenner-Hesketh, England) | From her father, William Sharon. Made in silver mines, banking, railroads, etc.
CALIFORNIA | SAN FRANCISCO | W. R. FULLER (of Whittier, Fuller & Co.) | Made a large fortune in dealing in paints, oils and glass.
CALIFORNIA | SAN FRANCISCO | E. L. GOLDSTEIN (of B. Dreyfus & Co.) | Mfg. California wines and very valuable city real estate.
CALIFORNIA | SAN FRANCISCO | LEWIS GERSTLE | Importing furs and merchandising in the Alaska Commercial Company.
